Id,Label,Date,Image,followers_count,friends_count
1118823044510887936,NikolausDinkel1,Thu Apr 18 10:26:15 +0000 2019,https://pbs.twimg.com/profile_images/1200685259383353344/-yThgdPe_normal.jpg,570,2451
1119276958737735686,DavidDeadlift,Fri Apr 19 16:29:56 +0000 2019,https://pbs.twimg.com/profile_images/1284193536552980481/qio3WKb3_normal.jpg,126,323
1120669848927973377,24Ybs,Tue Apr 23 12:44:47 +0000 2019,https://pbs.twimg.com/profile_images/1467587815454171137/Ibm9GzIY_normal.jpg,104,718
1122752328723988480,almankaninchen,Mon Apr 29 06:39:49 +0000 2019,https://pbs.twimg.com/profile_images/1423678749569077251/ejf7XCnY_normal.jpg,1918,134
1126176410949890048,Koschkowskaya,Wed May 08 17:25:54 +0000 2019,https://pbs.twimg.com/profile_images/1126180805083062273/BCnfdKsB_normal.png,240,437
1126437637236109312,WKolov,Thu May 09 10:43:55 +0000 2019,https://pbs.twimg.com/profile_images/1126437851661590529/sdAgXP5C_normal.jpg,123,79
1128300581477548033,DocSoft,Tue May 14 14:06:36 +0000 2019,https://pbs.twimg.com/profile_images/1467839697175068674/_m9vmf5u_normal.jpg,1120,1513
1128715108388081665,ProbstWilli,Wed May 15 17:33:47 +0000 2019,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,27,57
1130213864489009164,Stormageddon666,Sun May 19 20:49:18 +0000 2019,https://pbs.twimg.com/profile_images/1401497391044468736/x9JXAlGe_normal.jpg,7833,671
1130966879948955648,HeidiZiegler7,Tue May 21 22:41:31 +0000 2019,https://pbs.twimg.com/profile_images/1379394814303735810/D1vVMGBU_normal.jpg,193,158
1131070519904808960,BonengelDirk,Wed May 22 05:33:20 +0000 2019,https://pbs.twimg.com/profile_images/1191458801444171780/xH5wpT8J_normal.jpg,36,358
1131237989818994688,dantrimont,Wed May 22 16:38:48 +0000 2019,https://pbs.twimg.com/profile_images/1349879147334692868/SEm4XYJG_normal.jpg,269,1912
1131300901,RuediStricker,Tue Jan 29 15:10:07 +0000 2013,https://pbs.twimg.com/profile_images/1395676977273655298/nqrg1slT_normal.jpg,1333,387
1131523453180403712,Stohrm2,Thu May 23 11:33:08 +0000 2019,https://pbs.twimg.com/profile_images/1131524026243985408/6R2gmhgg_normal.jpg,125,175
