,company,job,location,count
208,Garage MC Autos Sàrl,Automobil-Fachmann/-frau (Personenwagen) EFZ,Granges VS (VS),"
1 Lehrstelle(n)
"
209,AB Electronics Sàrl,Automobil-Fachmann/-frau (Personenwagen) EFZ,Granges-Paccot (FR),"
1 Lehrstelle(n)
"
210,Auto Ruckstuhl AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Kägiswil (OW),"
1 Lehrstelle(n)
"
211,Garage Rinau,Automobil-Fachmann/-frau (Personenwagen) EFZ,Kaiseraugst (AG),"
1 Lehrstelle(n)
"
212,Garage Hollandia AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Kippel (VS),"
1 Lehrstelle(n)
"
213,K. Nusser AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Koblenz (AG),"
1 Lehrstelle(n)
"
214,Autogarage Toni GmbH,Automobil-Fachmann/-frau (Personenwagen) EFZ,Lengwil (TG),"
1 Lehrstelle(n)
"
215,Südwestgarage Lenzburg AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Lenzburg (AG),"
1 Lehrstelle(n)
"
216,LUEG AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Luzern (LU),"
3 Lehrstelle(n)
"
217,Atlas Automobiles SA,Automobil-Fachmann/-frau (Personenwagen) EFZ,Martigny (VS),"
1 Lehrstelle(n)
"
218,Autowelt Meggen AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Meggen (LU),"
2 Lehrstelle(n)
"
219,Hammer Auto Center AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Meggen (LU),"
1 Lehrstelle(n)
"
220,Garage Nanzer GmbH,Automobil-Fachmann/-frau (Personenwagen) EFZ,Münster VS (VS),"
1 Lehrstelle(n)
"
221,Kurt Kistler AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Niederurnen (GL),"
1 Lehrstelle(n)
"
222,Espace Auto Chablais,Automobil-Fachmann/-frau (Personenwagen) EFZ,Noville (VD),"
1 Lehrstelle(n)
"
223,Garage-Carrosserie du Centre Autos Boi Sàrl,Automobil-Fachmann/-frau (Personenwagen) EFZ,Oron-la-Ville (VD),"
1 Lehrstelle(n)
"
224,Garage Berli,Automobil-Fachmann/-frau (Personenwagen) EFZ,Pfyn (TG),"
1 Lehrstelle(n)
"
225,Garage ATM,Automobil-Fachmann/-frau (Personenwagen) EFZ,Puidoux (VD),"
1 Lehrstelle(n)
"
